x	y	avg.rank	avg.ort	ecorr
GU.2735_<<_GU.916	GU.2735	GU.916	0.932432432432432	-1	-0.127293769304329
GU.315_<<_GU.1795	GU.315	GU.1795	0.93491124260355	0	-0.0416666666666667
GU.95_<<_GU.6433	GU.95	GU.6433	0.936936936936937	-1	-0.0601929265428846
GU.315_<<_GU.928	GU.315	GU.928	0.937869822485207	0	-0.0416666666666667
GU.409_<<_GU.931	GU.409	GU.931	0.940828402366864	0	-0.0416666666666667
GU.95_<<_GU.916	GU.95	GU.916	0.941441441441441	-1	-0.0601929265428846
GU.409_<<_GU.93	GU.409	GU.93	0.943786982248521	0	-0.0416666666666667
GU.249_<<_GU.315	GU.249	GU.315	0.945945945945946	-1	-0.0601929265428846
GU.409_<<_GU.1722	GU.409	GU.1722	0.946745562130177	0	-0.0416666666666667
GU.409_<<_GU.757	GU.409	GU.757	0.949704142011834	0	-0.0416666666666667
GU.249_<<_GU.931	GU.249	GU.931	0.95045045045045	-1	-0.0601929265428846
GU.931_<<_GU.85	GU.931	GU.85	0.952662721893491	0	-0.0416666666666667
GU.249_<<_GU.699	GU.249	GU.699	0.954954954954955	-1	-0.0601929265428846
GU.931_<<_GU.267	GU.931	GU.267	0.955621301775148	0	-0.0416666666666667
GU.931_<<_GU.1795	GU.931	GU.1795	0.958579881656805	0	-0.0416666666666667
GU.249_<<_GU.2616	GU.249	GU.2616	0.959459459459459	-1	-0.0601929265428846
GU.931_<<_GU.928	GU.931	GU.928	0.961538461538462	0	-0.0416666666666667
GU.249_<<_GU.805	GU.249	GU.805	0.963963963963964	-1	-0.0601929265428846
GU.85_<<_GU.93	GU.85	GU.93	0.964497041420118	0	-0.0416666666666667
GU.85_<<_GU.1722	GU.85	GU.1722	0.967455621301775	0	-0.0416666666666667
GU.249_<<_GU.871	GU.249	GU.871	0.968468468468468	-1	-0.0601929265428846
GU.85_<<_GU.757	GU.85	GU.757	0.970414201183432	0	-0.0416666666666667
GU.249_<<_GU.412	GU.249	GU.412	0.972972972972973	-1	-0.0601929265428846
GU.93_<<_GU.267	GU.93	GU.267	0.973372781065089	0	-0.0416666666666667
GU.93_<<_GU.1795	GU.93	GU.1795	0.976331360946746	0	-0.0416666666666667
GU.166_<<_GU.699	GU.166	GU.699	0.977477477477477	1	-0.0416666666666667
GU.93_<<_GU.928	GU.93	GU.928	0.979289940828402	0	-0.0416666666666667
GU.93_<<_GU.699	GU.93	GU.699	0.981981981981982	1	-0.0416666666666667
GU.267_<<_GU.1722	GU.267	GU.1722	0.982248520710059	0	-0.0416666666666667
GU.267_<<_GU.757	GU.267	GU.757	0.985207100591716	0	-0.0416666666666667
GU.699_<<_GU.1722	GU.699	GU.1722	0.986486486486487	-1	-0.0416666666666667
GU.1722_<<_GU.1795	GU.1722	GU.1795	0.988165680473373	0	-0.0416666666666667
GU.699_<<_GU.757	GU.699	GU.757	0.990990990990991	-1	-0.0416666666666667
GU.1722_<<_GU.928	GU.1722	GU.928	0.99112426035503	0	-0.0416666666666667
GU.1795_<<_GU.757	GU.1795	GU.757	0.994082840236686	0	-0.0416666666666667
GU.1771_<<_GU.860	GU.1771	GU.860	0.995495495495496	-1	0.0160623141550809
GU.928_<<_GU.757	GU.928	GU.757	0.997041420118343	0	-0.0416666666666667
